Time(s),Position(m),Velocity(m/s),Acceleration(m/s^2)
77.16,0.0084035,0.0173881944,-0.0770823688
77.18,0.0090895,0.008575,-0.2957581019
77.2,0.0087465,0.0016673611,-0.2907957176
77.22,0.0094325,-0.0140534722,0.1363001543
77.24,0.007203,0.0080986111,0.5200578704
77.26,0.0097755,0.0314416667,-0.0741049383
77.28,0.0101185,-0.0109569444,-0.0575636574
77.3,0.0077175,0.0114333333,0.6143431713
77.32,0.01029,0.0433513889,0.0426765046
77.34,0.0108045,0.0188173611,-0.7830642361
77.36,0.0108045,-0.0004763889,-1.0510329861
77.38,0.0111475,-0.0357291667,-0.6315461034
77.4,0.0087465,-0.0388256944,0.4499228395
77.42,0.008918,-0.0078604167,1.0857696759
77.44,0.0087465,0.0138152778,1.1840248843
77.46,0.0090895,0.0490680556,0.7152449846
77.48,0.011319,0.0531173611,-0.2398485725
77.5,0.0118335,0.0285833333,-0.692418017
77.52,0.0121765,0.0131006944,-0.5458622685
77.54,0.0121765,0.0059548611,-0.2692920525
77.56,0.012348,0.0047638889,-0.0830372299
77.58,0.012348,0.0047638889,-0.0234886188
77.6,0.0125195,0.0057166667,-0.0641801698
77.62,0.012691,0.0016673611,-0.0883304398
77.64,0.0125195,0.0004763889,-0.035398341
77.66,0.012691,0.0004763889,0.0049623843
77.68,0.0125195,0.0011909722,0.0132330247
77.7,0.012691,0.0035729167,-0.0909770448
77.72,0.0128625,-0.0028583333,-0.1707060185
77.74,0.0125195,-0.0066694444,-0.098586034
77.76,0.0125195,-0.0071458333,-0.0125713735
77.78,0.0121765,-0.0052402778,-0.0089322917
77.8,0.012348,-0.0047638889,-0.1237287809
77.82,0.0121765,-0.0126243056,-0.1329918981
77.84,0.011662,-0.0128625,-0.0062856867
77.86,0.011662,-0.0121479167,0.1022251157
77.88,0.0111475,-0.0092895833,0.2180140818
77.9,0.0111475,-0.0004763889,0.1846006944
77.92,0.011319,0.0002381944,0.0330825617
77.94,0.0111475,0,-0.1005709877
77.96,0.011319,-0.00214375,-0.2686304012
77.98,0.011319,-0.0140534722,-0.2537432485
78,0.010633,-0.0195319444,0.0585561343
78.02,0.0101185,-0.0080986111,0.2160291281
78.04,0.0104615,-0.0016673611,-0.0218344907
78.06,0.0104615,-0.0128625,-0.1260445602
78.08,0.009604,-0.0109569444,-0.0430073302
78.1,0.0101185,-0.0126243056,-0.0175337577
78.12,0.0090895,-0.0131006944,0.0655034722
78.14,0.0094325,-0.0069076389,0.0023157793
78.16,0.0090895,-0.0128625,-0.0671576003
78.18,0.0087465,-0.0114333333,-0.0539245756
78.2,0.0087465,-0.01500625,-0.0357291667
78.22,0.0080605,-0.0145298611,0.0539245756
78.24,0.0080605,-0.0097659722,0.0102555941
78.26,0.007889,-0.0140534722,-0.0377141204
78.28,0.0073745,-0.0133388889,0.0019849537
78.3,0.0073745,-0.0133388889,0.022496142
78.32,0.00686,-0.0135770833,0.0856838349
78.34,0.0066885,-0.0080986111,0.0612027392
78.36,0.0066885,-0.0092895833,-0.0416840278
78.38,0.0063455,-0.0116715278,-0.0668267747
78.4,0.006174,-0.0128625,-0.0410223765
78.42,0.005831,-0.0133388889,0.0046315586
78.44,0.0056595,-0.0138152778,0.0827064043
78.46,0.005145,-0.0090513889,0.0946161265
78.48,0.0053165,-0.0052402778,-0.1230671296
78.5,0.005145,-0.0135770833,-0.3152768133
78.52,0.004802,-0.0211993056,-0.2812017747
78.54,0.0046305,-0.0390638889,0.3271865355
78.56,0.002058,-0.0071458333,0.7946431327
78.58,0.0042875,0.02358125,-0.0651726466
78.6,0.004459,-0.0076222222,-0.9722964892
78.62,0.004116,-0.0459715278,-0.500539159
78.64,0.001715,-0.0431131944,0.7211998457
78.66,0.001715,-0.0052402778,1.3742496142
78.68,0.001372,0.0383493056,0.7056510417
78.7,0.004116,0.0383493056,-0.7099517747
78.72,0.003773,-0.0042875,-1.4142795139
78.74,0.0039445,-0.0466861111,-0.7264930556
78.76,0.001029,-0.0462097222,0.5729899691
78.78,0.0012005,-0.0045256944,0.9719656636
78.8,0.0012005,0.0211993056,0.0724508102
78.82,0.0032585,-0.0050020833,-0.7314554398
78.84,0.001029,-0.0362055556,-0.3099836034
78.86,0.000686,-0.0202465278,0.3804494599
78.88,0.0005145,-0.0090513889,1.009679784
78.9,0.000343,0.0002381944,3.8637123843
78.92,0,0.0350145833,14.8749122299
78.94,0.0029155,0.3239444444,36.0186390818
78.96,-0.0008575,1.3165006944,51.843351659
78.98,0.00686,3.7996777778,2.1513589892
79.04,-0.001372,-4.0483527778,-0.5415615355
79.06,-0.001715,-1.3388909722,54.0284548611
79.08,-0.001029,-0.3353777778,37.4980912423
79.1,-0.001029,-0.0002381944,15.2887750772
79.12,-0.0012005,-0.0042875,3.0918962191
79.14,-0.0012005,-0.008575,0.3304947917
79.16,-0.0015435,-0.0111951389,-0.026796875
79.18,-0.001715,-0.0102423611,0.0975935571
79.2,-0.002058,-0.0052402778,0.1207513503
79.22,-0.0018865,-0.0016673611,-0.0168721065
79.24,-0.0018865,-0.0083368056,-0.0516087963
79.26,-0.002401,-0.0073840278,0.0784056713
79.28,-0.0022295,-0.0040493056,0.1713676698
79.3,-0.0025725,0.0004763889,0.2196682099
79.32,-0.0022295,0.0061930556,0.1862548225
79.34,-0.0022295,0.0073840278,0.1601195988
79.36,-0.002058,0.0133388889,0.1025559414
79.38,-0.0015435,0.0123861111,0.019849537
79.4,-0.0015435,0.0111951389,0.0655034722
79.42,-0.0012005,0.0142916667,0.1303452932
79.44,-0.001029,0.0190555556,0.0906462191
79.46,-0.000343,0.0202465278,-0.0334133873
79.48,0,0.0128625,0.0344058642
79.5,-0.0001715,0.0190555556,0.2067660108
79.52,0.000686,0.0285833333,0.0797289738
79.54,0.001372,0.0211993056,0.0162104552
79.56,0.001372,0.02358125,0.1449016204
79.58,0.0022295,0.0262013889,0.2580439815
79.6,0.0018865,0.0481152778,-0.1204205247
79.62,0.005488,0.0197701389,-0.3718479938
79.64,0.0025725,-0.00214375,0.7635455247
79.66,0.003087,0.0695527778,1.0358150077
79.68,0.00686,0.0781277778,-0.3318180941
79.7,0.0073745,0.0378729167,-1.0222511574
79.72,0.0077175,0.01715,-0.8766878858
79.74,0.0077175,0.0080986111,-0.7784326775
79.76,0.008232,-0.0050020833,-0.9117554012
