Time(s),Position(m),Velocity(m/s),Acceleration(m/s^2)
87.48,0.0162925,-0.0111951389,
87.52,0.0221235,-30.2618895833,
87.54,0.017493,-9.1061736111,
87.56,0.019894,-3.0410284722,
87.58,0.019208,-0.0890847222,
87.6,0.015092,-0.1086166667,
87.62,0.01372,-0.0819388889,
87.64,0.0125195,-0.0736020833,
87.66,0.0108045,-0.0700291667,
87.68,0.009261,-0.0543083333,
87.7,0.009947,-0.09218125,
87.72,0.0053165,-0.11790625,
87.74,0.0039445,-0.0881319444,
87.76,0.0022295,-0.0719347222,
87.78,0.001029,-0.0516881944,
87.8,0.000343,-0.0423986111,
87.82,-0.000686,-0.03215625,
87.84,-0.001029,-0.0200083333,
87.86,-0.001372,-0.0131006944,
87.88,-0.001372,-0.0145298611,
87.9,-0.002058,-0.0169118056,
87.92,-0.0018865,3.0326916667,
87.94,-0.002401,9.1223708333,
87.96,-0.005488,27.5057416667,
88,0.0001715,-27.5231298611,
88.02,-0.004116,-9.24170625,
88.04,-0.0049735,-3.0931930556,
88.06,-0.005145,-0.0078604167,
88.08,-0.0049735,0.0147680556,
88.1,-0.004802,0.0390638889,
88.12,-0.00343,0.0655034722,
88.14,-0.0012005,0.0531173611,
88.16,-0.0025725,0.0859881944,
88.18,0.002401,0.1079020833,
88.2,0.0039445,0.0440659722,
88.22,0.0025725,0.0462097222,
88.24,0.0042875,0.1081402778,
88.26,0.0084035,0.1124277778,
88.28,0.009604,0.0786041667,
88.3,0.0108045,0.0693145833,
88.32,0.012348,0.0640743056,
88.34,0.013377,0.0583576389,
88.36,0.0145775,0.0543083333,
88.38,0.016464,0.0176263889,
88.4,0.0145775,3.0386465278,
88.42,0.015435,9.1488104167,
88.44,0.018865,27.3294777778,
88.48,0.0197225,-26.9626583333,
88.5,0.038759,-9.0247111111,
88.52,0.022295,-3.2027625,
88.54,0.021609,0.01071875,
88.56,0.0258965,0.08789375,
88.58,0.02744,0.0828916667,
88.6,0.0289835,0.0593104167,
88.62,0.029498,0.0474006944,
88.64,0.030527,0.0547847222,
88.66,0.031899,0.0543083333,
88.68,0.0327565,0.0509736111,
88.7,0.033957,0.0457333333,
88.72,0.034643,0.0378729167,
88.74,0.035329,0.03644375,
